"film_id","Title","Description","ReleaseYear","Language","RentalDuration","RentalRate","Rating","Length","ReplacementCost","SpecialFeatures","Category","Actors"
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,"English",6,0.99,"PG",86,20.99,"Deleted Scenes,Behind the Scenes","Documentary","1//PENELOPE//GUINESS,10//CHRISTIAN//GABLE,20//LUCILLE//TRACY,30//SANDRA//PECK,40//JOHNNY//CAGE,53//MENA//TEMPLE,108//WARREN//NOLTE,162//OPRAH//KILMER,188//ROCK//DUKAKIS,198//MARY//KEITEL"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,"English",3,4.99,"G",48,12.99,"Trailers,Deleted Scenes","Horror","19//BOB//FAWCETT,85//MINNIE//ZELLWEGER,90//SEAN//GUINESS,160//CHRIS//DEPP"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,"English",7,2.99,"NC-17",50,18.99,"Trailers,Deleted Scenes","Documentary","2//NICK//WAHLBERG,19//BOB//FAWCETT,24//CAMERON//STREEP,64//RAY//JOHANSSON,123//JULIANNE//DENCH"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,"English",5,2.99,"G",117,26.99,"Commentaries,Behind the Scenes","Horror","41//JODIE//DEGENERES,81//SCARLETT//DAMON,88//KENNETH//PESCI,147//FAY//WINSLET,162//OPRAH//KILMER"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,"English",6,2.99,"G",130,22.99,"Deleted Scenes","Family","51//GARY//PHOENIX,59//DUSTIN//TAUTOU,103//MATTHEW//LEIGH,181//MATTHEW//CARREY,200//THORA//TEMPLE"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,"English",3,2.99,"PG",169,17.99,"Deleted Scenes","Foreign","21//KIRSTEN//PALTROW,23//SANDRA//KILMER,62//JAYNE//NEESON,108//WARREN//NOLTE,137//MORGAN//WILLIAMS,169//KENNETH//HOFFMAN,197//REESE//WEST"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,"English",6,4.99,"PG-13",62,28.99,"Trailers,Deleted Scenes","Comedy","99//JIM//MOSTEL,133//RICHARD//PENN,162//OPRAH//KILMER,170//MENA//HOPPER,185//MICHAEL//BOLGER"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,"English",6,4.99,"R",54,15.99,"Trailers","Horror","55//FAY//KILMER,96//GENE//WILLIS,110//SUSAN//DAVIS,138//LUCILLE//DEE"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,"English",3,2.99,"PG-13",114,21.99,"Trailers,Deleted Scenes","Horror","10//CHRISTIAN//GABLE,22//ELVIS//MARX,26//RIP//CRAWFORD,53//MENA//TEMPLE,68//RIP//WINSLET,108//WARREN//NOLTE,130//GRETA//KEITEL,175//WILLIAM//HACKMAN,194//MERYL//ALLEN"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,"English",6,4.99,"NC-17",63,24.99,"Trailers,Deleted Scenes","Sports","29//ALEC//WAYNE,35//JUDY//DEAN,37//VAL//BOLGER,64//RAY//JOHANSSON,117//RENEE//TRACY,142//JADA//RYDER,157//GRETA//MALDEN,188//ROCK//DUKAKIS"
