idPayment,Amount,PaymentDate
1,2.99,"2005-05-25 11:30:37"
2,0.99,"2005-05-28 10:35:23"
3,5.99,"2005-06-15 00:54:12"
4,0.99,"2005-06-15 18:02:53"
5,9.99,"2005-06-15 21:08:46"
6,4.99,"2005-06-16 15:18:57"
7,4.99,"2005-06-18 08:41:48"
8,0.99,"2005-06-18 13:33:59"
9,3.99,"2005-06-21 06:24:45"
10,5.99,"2005-07-08 03:17:05"
11,5.99,"2005-07-08 07:33:56"
12,4.99,"2005-07-09 13:24:07"
13,4.99,"2005-07-09 16:38:01"
14,7.99,"2005-07-11 10:13:46"
15,2.99,"2005-07-27 11:31:22"
16,4.99,"2005-07-28 09:04:45"
17,4.99,"2005-07-28 16:18:23"
18,0.99,"2005-07-28 17:33:39"
19,0.99,"2005-07-28 19:20:07"
20,2.99,"2005-07-29 03:58:49"
21,2.99,"2005-07-31 02:42:18"
22,4.99,"2005-08-01 08:51:04"
23,3.99,"2005-08-02 15:36:52"
24,0.99,"2005-08-02 18:01:38"
25,4.99,"2005-08-17 12:37:54"
26,0.99,"2005-08-18 03:57:29"
27,0.99,"2005-08-19 09:55:16"
28,2.99,"2005-08-19 13:56:54"
29,0.99,"2005-08-21 23:33:57"
30,1.99,"2005-08-22 01:27:57"
31,2.99,"2005-08-22 19:41:37"
32,5.99,"2005-08-22 20:03:46"
33,4.99,"2005-05-27 00:09:24"
34,2.99,"2005-06-17 20:54:58"
35,2.99,"2005-07-10 06:31:24"
36,6.99,"2005-07-10 12:38:56"
37,4.99,"2005-07-27 14:30:42"
38,5.99,"2005-07-27 15:23:02"
39,5.99,"2005-07-27 18:40:20"
40,5.99,"2005-07-29 00:12:59"
41,2.99,"2005-07-29 12:56:59"
42,5.99,"2005-07-29 17:14:29"
43,4.99,"2005-07-30 06:06:10"
44,10.99,"2005-07-30 13:47:43"
45,0.99,"2005-07-30 14:14:11"
46,6.99,"2005-07-30 16:21:13"
47,6.99,"2005-07-30 22:39:53"
48,2.99,"2005-07-31 21:58:56"
49,0.99,"2005-08-01 09:45:26"
50,0.99,"2005-08-02 02:10:56"
51,5.99,"2005-08-02 07:41:41"
52,6.99,"2005-08-02 10:43:48"
53,2.99,"2005-08-02 13:44:53"
54,2.99,"2005-08-17 03:52:18"
55,2.99,"2005-08-19 06:26:04"
56,4.99,"2005-08-21 13:24:32"
57,5.99,"2005-08-21 22:41:56"
58,4.99,"2005-08-22 13:53:04"
